
843661_Conversation_0,"hello: Hey!","I am a Space Conversational Agent for Retrieving Lessons-learnt and Expert Training.","My two main functions are knowledge capture and knowledge retrieval in the form of lessons learned.","If I ever get stuck please use /restart to restart the conversation.,How can I help?, Hi: Your input is unexpected at this stage of conversation. Please start the conversation again with /restart and try rephrasing your input. Thanks :), ",
843661_Conversation_1,"/restart: I'm sorry you've ran into a problem. The chatbot is restarted. Please start again :), Hi: Hey!","I am a Space Conversational Agent for Retrieving Lessons-learnt and Expert Training.","My two main functions are knowledge capture and knowledge retrieval in the form of lessons learned.","If I ever get stuck please use /restart to restart the conversation.,How can I help?, ",FEEDBACK: TP," 
843661_Conversation_2,"/restart: I'm sorry you've ran into a problem. The chatbot is restarted. Please start again :), hello: Hey!","I am a Space Conversational Agent for Retrieving Lessons-learnt and Expert Training.","My two main functions are knowledge capture and knowledge retrieval in the form of lessons learned.","If I ever get stuck please use /restart to restart the conversation.,How can I help?, ",FEEDBACK: TP," 
843661_Conversation_3,"/restart: I'm sorry you've ran into a problem. The chatbot is restarted. Please start again :), hey: Hey!","I am a Space Conversational Agent for Retrieving Lessons-learnt and Expert Training.","My two main functions are knowledge capture and knowledge retrieval in the form of lessons learned.","If I ever get stuck please use /restart to restart the conversation.,How can I help?, ",FEEDBACK: TP," 
843661_Conversation_4,"/restart: I'm sorry you've ran into a problem. The chatbot is restarted. Please start again :), hi there: Hey!","I am a Space Conversational Agent for Retrieving Lessons-learnt and Expert Training.","My two main functions are knowledge capture and knowledge retrieval in the form of lessons learned.","If I ever get stuck please use /restart to restart the conversation.,How can I help?, ",FEEDBACK: TP," 
843661_Conversation_5,"/restart: I'm sorry you've ran into a problem. The chatbot is restarted. Please start again :), I want to learn: What is the topic?, ",FEEDBACK: TP," 
843661_Conversation_6,"/restart: I'm sorry you've ran into a problem. The chatbot is restarted. Please start again :), I want to retrieve a lesson: What is the topic?, ",FEEDBACK: TP," 
